idx,n_bytes,template_gain,loop_gain
215,42332,0.4826,0.2686
216,27184,0.5926,0.2779
217,33473,0.5516,0.3409
218,30182,0.4034,0.2603
219,62987,0.3442,0.2876
220,57905,0.2942,0.2108
221,52656,0.3171,0.3004
222,44108,0.355,0.2233
223,42952,0.3968,0.2766
224,34664,0.3962,0.2742
225,70593,0.3022,0.1789
226,64302,0.3961,0.3182
227,36148,0.5004,0.2324
228,58463,0.3859,0.3766
229,44757,0.4499,0.2816
230,89918,0.3146,0.2792
231,54053,0.3196,0.2468
232,48235,0.3384,0.2404
233,67972,0.3124,0.321
234,36193,0.4773,0.3058
235,38386,0.5154,0.2961
236,57209,0.3079,0.235
237,33171,0.5802,0.2738
238,52094,0.3524,0.337
239,60734,0.3179,0.2467
240,59881,0.3496,0.2918
241,42250,0.4032,0.3342
242,28048,0.4712,0.2717
243,41299,0.4044,0.2156
244,53429,0.3817,0.2921
245,66303,0.2725,0.3388
246,37580,0.3974,0.3833
247,44517,0.4118,0.3538
248,34513,0.526,0.3651
249,133190,0.2566,0.3603
250,77455,0.3124,0.2026
251,33213,0.4431,0.2439
252,63737,0.2683,0.3771
253,32810,0.4115,0.289
254,54447,0.3223,0.327
255,48837,0.345,0.1993
256,32043,0.3828,0.2234
257,68032,0.3966,0.3032
258,32817,0.4008,0.2687
259,37197,0.3924,0.2425
260,24926,0.5021,0.274
261,59621,0.4014,0.4123
262,46276,0.4947,0.284
263,70445,0.2945,0.2481
264,67164,0.3224,0.3843
265,33768,0.4336,0.4326
266,61489,0.2964,0.3432
267,25459,0.5167,0.2434
268,52536,0.3632,0.3337
269,26387,0.4485,0.2
270,51405,0.4027,0.2533
271,26954,0.5245,0.2667
272,39514,0.4439,0.2607
273,27794,0.4269,0.3282
274,33111,0.4042,0.2918
275,35571,0.4267,0.2968
276,78768,0.2645,0.2887
277,46374,0.3759,0.2536
278,42059,0.3778,0.2234
279,62880,0.3105,0.2176
280,33975,0.4273,0.3371
281,62072,0.3218,0.2826
282,63284,0.3229,0.2712
283,57409,0.3095,0.2203
284,25576,0.4483,0.2032
285,47545,0.3622,0.2873
286,124016,0.2803,0.273
287,53422,0.2826,0.1906
288,68627,0.3148,0.3215
289,62869,0.3789,0.3236
290,52407,0.3129,0.2162
291,50468,0.3052,0.2276
292,62098,0.2721,0.2591
293,87599,0.2649,0.3107
294,83039,0.2647,0.2733
295,37704,0.3559,0.3169
296,28570,0.4312,0.3154
297,53604,0.3291,0.2787
298,43038,0.3259,0.3365
299,67270,0.2731,0.2854
