slug,seed_offset,alpha,h_inf,bpc_128,bpc_2048,bpc_32768,n_episodes,mean_turns,n_bytes
toucan-15m-kimi-k2,0,0.3740532460254607,1.3442133573079786,5.938530921936035,2.9728193283081055,1.9215259552001953,553,18.0,8388608
swe-zero-12m-traj,0,0.26394442506567967,0.7975583043746213,5.680798530578613,3.1465816497802734,1.9275274276733398,325,31.9,8388608
glaive-fc-v2,0,0.27969407102017974,1.0501678575112703,5.891964855330807,3.279739114114114,2.0768503042367787,1500,5.6,3410818
toucan-15m-kimi-k2,553,0.36354310649961113,1.3934505939838329,5.917603492736816,3.044605255126953,1.996063232421875,513,18.1,8388608
swe-zero-12m-traj,325,0.2969513425016296,1.2340886083915967,5.7562971115112305,3.219202995300293,2.105494499206543,269,32,8388608
glaive-fc-v2,1500,0.27775318041787006,1.034777714271516,5.891981708445958,3.2835122443687017,2.0758719308035714,1500,5.6,3457011
app1-agentic-safety-sft,0,0.059387112603742784,0.0,6.020649799671752,3.4169095814020856,1.2084551509122672,1500,3,5303421
toucan-15m-kimi-k2,1106,0.36977442743694666,1.3648516074347916,5.898226737976074,2.991032600402832,1.9481840133666992,523,18.1,8388608
swe-zero-12m-traj,650,0.26540390517949164,0.7727636058789347,5.660859107971191,3.114626884460449,1.8947391510009766,259,31.9,8388608
glaive-fc-v2,3000,0.28064926470520296,1.0793154850398234,5.908380524607098,3.2971424881936247,2.0978887648809526,1500,5.6,3469586
swe-zero-12m-traj,975,0.23800872385276037,0.5968393747434906,5.959714889526367,3.368925094604492,2.029738426208496,273,31.9,8388608
toucan-15m-kimi-k2,1659,0.3608606281070182,1.2809949261376836,5.942277908325195,2.99489688873291,1.911177635192871,568,16.5,8388608
glaive-fc-v2,4500,0.2738225407430723,1.0122231878831953,5.896104695191215,3.2980847537878786,2.082102358919903,1500,5.6,3380507
swe-zero-12m-traj,1300,0.25422920273628646,0.6986681692574419,5.8449859619140625,3.241830825805664,1.9554262161254883,261,31.9,8388608
app1-agentic-safety-sft,1500,0.05920432478526518,0.0,6.026953732031857,3.418041593822844,1.2040786743164062,1500,3,5271672
toucan-15m-kimi-k2,2212,0.36347666150280195,1.3461720424601138,5.989579200744629,3.0411624908447266,1.9648971557617188,604,14.6,8388608
glaive-fc-v2,6000,0.2744546547280281,0.9916232434443153,5.8977715620879545,3.28388568823712,2.06261962890625,1500,5.6,3300721
app1-agentic-safety-sft,3000,0.059409851036319565,0.0,6.025146638227738,3.416353520170675,1.2037527901785714,1500,3,5281036
app1-agentic-safety-sft,4500,0.06697142328572366,0.0,6.026331579433213,3.3441077363367797,1.1164247411242603,1500,5.5,5546616
app1-agentic-safety-sft,6000,0.15353636139469495,0.0,6.054653510715437,3.329398968739929,1.5489445029145077,1500,6.4,6354989
dtap-gemini-3-pro,364,0.2714476013730211,0.44310820668135253,5.957585334777832,3.041166305541992,1.6671419143676758,427,14.3,8388608
dtap-claude-sonnet-45,482,0.23206811069736516,0.07697892417449004,6.135732650756836,3.2607765197753906,1.7500238418579102,462,16.9,8388608
dtap-claude-opus-46,443,0.24536785777412917,0.2469607012773829,6.120096206665039,3.2214860916137695,1.7534475326538086,475,18.4,8388608
