config,n_groups,alpha,h_inf,bpc_128,bpc_2048,bpc_32768,n_episodes,n_bytes
claudesdk/claude-opus-4-6,1,0.39228010909449085,0.5805816539648846,5.339701016032811,2.1844705443698733,1.1211143401731927,34,2746495
claudesdk/claude-opus-4-6,2,0.3421758670647839,0.5985658003027157,5.305164062119663,2.4211446702155284,1.304339599609375,201,7887783
claudesdk/claude-opus-4-6,4,0.36732287977024003,0.9285073402688193,5.5306549072265625,2.5906171798706055,1.528794288635254,347,8388608
claudesdk/claude-opus-4-6,8,0.3432921386313083,0.8177287912513941,5.7159881591796875,2.708664894104004,1.5477104187011719,526,8388608
claudesdk/claude-opus-4-6,16,0.26392054801447834,0.4816092964116183,5.9658002853393555,3.119887351989746,1.7508049011230469,394,8388608
claudesdk/claude-opus-4-6,24,0.2770536328722741,0.7075489914210278,6.072602272033691,3.1962242126464844,1.8619651794433594,443,8388608
