slug,beta,n_bytes,opnorm_lag1,opnorm_lag2,opnorm_lag4,opnorm_lag8,opnorm_lag16,opnorm_lag32,opnorm_lag64,opnorm_lag128,opnorm_lag256,opnorm_lag512
swe-gym-oh-sampled-traj,0.4315,8388608,0.0666695,0.0514499,0.0330871,0.0347742,0.0129459,0.0118193,0.0149079,0.0142121,0.0131821,0.0123564
swe-gym-oh-sft-traj,0.4167,8388608,0.0613723,0.0478515,0.0318259,0.0314213,0.0122102,0.0118791,0.0144304,0.0136744,0.0127674,0.0113075
swe-gym-oh-verifier-traj,0.2127,8388608,0.0607283,0.0579337,0.0550825,0.0528771,0.0479689,0.0389192,0.0209395,0.0136254,0.013148,0.0105844
swe-gym-tasks,0.4712,8388608,0.0959285,0.0843173,0.055773,0.0261197,0.0116644,0.0137555,0.0256828,0.0205819,0.0163773,0.0151626
swe-hero-oh-traj,0.0662,8388608,0.122863,0.119116,0.110681,0.111611,0.0999333,0.0972614,0.0948334,0.0887619,0.0824892,0.073334
swe-rebench-oh-assistant-only,0.889,8388608,0.0319221,0.028832,0.0140289,0.00944801,0.00452104,0.00171804,0.00097032,0.000668027,0.000504163,0.000329671
swe-rebench-oh-traj,0.057,8388608,0.172582,0.16795,0.158787,0.160601,0.146264,0.141999,0.137157,0.129404,0.123094,0.112443
swe-rebench-test,0.5039,8388608,0.0776419,0.0665815,0.0440576,0.0204311,0.0122241,0.0143152,0.0127327,0.0102469,0.0119449,0.00976808
swe-smith-traj-xml,0.4873,8388608,0.07171,0.0582045,0.038373,0.0341309,0.00992013,0.0101402,0.0154226,0.0131489,0.012362,0.00958594
swe-zero-oh-traj,0.493,8388608,0.0717112,0.0557459,0.0361609,0.0386495,0.0106383,0.00927263,0.0146872,0.0137789,0.0127814,0.010593
taubench-sonnet-proxy,0.29,29444,0.0437602,0.0404664,0.0179149,0.0154169,0.0114612,0.0198183,0.0125232,0.00994337,0.00763059,0.0070284
taubench-traces-jkazdan,0.3023,372872,0.0389866,0.0358388,0.0145872,0.0133012,0.00919352,0.0159717,0.0110276,0.00896945,0.0060698,0.00270471
tiger-browseragent-sft,0.3758,8388608,0.0244027,0.0200329,0.0118385,0.0109593,0.00935858,0.00813045,0.00423226,0.0050138,0.00370105,0.00383875
toolbench-toolllama-dfs,0.5529,8388608,0.0315908,0.0279429,0.0147717,0.00780928,0.00622886,0.00424014,0.00414028,0.00230597,0.00207618,0.00198928
toucan-15m-oss,0.3629,8388608,0.0252551,0.0153057,0.0112478,0.009266,0.00754508,0.00563217,0.00537086,0.00456748,0.00437551,0.00427015
toucan-15m-qwen3,0.3825,8388608,0.0365569,0.0248505,0.0170558,0.00785224,0.00715579,0.0104745,0.00731419,0.0068319,0.00720291,0.00731433
toucan-15m-sft,0.3102,8388608,0.0327876,0.0220769,0.0169396,0.00902416,0.00707539,0.0108016,0.00949669,0.00811724,0.00754949,0.00722187
weblinx-fullobs,0.4276,8388608,0.0314196,0.0217326,0.0204142,0.0143323,0.00819628,0.00659873,0.00592802,0.00539039,0.00551514,0.00487804
